Je li lijeènik u uredu?;Je zdravnik v ambulanti?
Možete li molim vas nazvati lijeènika?;Lahko poklièete zdravnika; prosim?
Kada æe doæi lijeènik?;Kdaj pride zdravnik?
Jesi li ti medicinska sestra?;Ste medicinska sestra?
Ne znam što imam;Ne vem; kaj mi je
Izgubio sam naoèale;Izgubil sem oèala
Možete li ih zamijeniti odmah?;Jih lahko zamenjate takoj?
Trebam li recept?;Ali potrebujem recept?
Uzimate li ikakve lijekove?;Ali jemljete kakšna zdravila?
Da; za srce;Ja; za srce
Hvala vam na pomoæi;Hvala za pomoè

Moram k lijeèniku;Moram k zdravniku
