Mogu li vidjeti vaš životopis?;Lahko vidim vaš življenjepis?
Izvolite moj životopis;Tukaj je moj življenjepis
Imate li preporuke koje mogu kontaktirati?;Se lahko na koga obrnem; ki vas bo priporoèil?
Izvolite popis mojih preporuka;Tukaj je seznam ljudi; ki me lahko priporoèijo
Koliko iskustva imate?;Koliko izkušenj imate?
Koliko dugo ste radili u tom podruèju?;Kako dolgo že delate na tem podroèju?
3 godine;Tri leta
Završio sam srednju školu;Maturiral sem
Završio sam fakultet;Diplomiral sem
Tražim posao sa skraæenim radnim vremenom;Išèem zaposlitev s poloviènim delovnim èasom
Želio bih raditi puno radno vrijeme;Rad bi delal s polnim delovnim èasom

Tražim posao;Išèem službo
